muni_id,uf_sigla,muni_nm,idhm,lat,lon
1301852,AM,IRANDUBA,0.613,-3.285,-60.186
1301902,AM,ITACOATIARA,0.644,-3.143,-58.444
1301951,AM,ITAMARATI,0.477,-6.425,-68.253
1302009,AM,ITAPIRANGA,0.654,-2.749,-58.022
1302108,AM,JAPURÁ,0.522,-1.826,-66.599
1302207,AM,JURUÁ,0.522,-3.481,-66.069
1302306,AM,JUTAÍ,0.516,-2.747,-66.767
1302405,AM,LÁBREA,0.531,-7.259,-64.798
1302504,AM,MANACAPURU,0.614,-3.3,-60.621
1302553,AM,MANAQUIRI,0.596,-3.428,-60.459
1302603,AM,MANAUS,0.737,-3.102,-60.025
1302702,AM,MANICORÉ,0.582,-5.809,-61.3
1302801,AM,MARAÃ,0.498,-1.856,-65.581
1302900,AM,MAUÉS,0.588,-3.384,-57.719
1303007,AM,NHAMUNDÁ,0.586,-2.186,-56.713
1303106,AM,NOVA OLINDA DO NORTE,0.558,-3.888,-59.094
1303205,AM,NOVO AIRÃO,0.57,-2.621,-60.944
1303304,AM,NOVO ARIPUANÃ,0.554,-5.121,-60.38
1303403,AM,PARINTINS,0.658,-2.628,-56.736
1303502,AM,PAUINI,0.496,-7.714,-66.976
1303536,AM,PRESIDENTE FIGUEIREDO,0.647,-2.034,-60.025
1303569,AM,RIO PRETO DA EVA,0.611,-2.699,-59.7
1303601,AM,SANTA ISABEL DO RIO NEGRO,0.479,-0.414,-65.019
1303700,AM,SANTO ANTÔNIO DO IÇÁ,0.49,-3.102,-67.94
1304005,AM,SILVES,0.632,-2.839,-58.209
1303809,AM,SÃO GABRIEL DA CACHOEIRA,0.609,-0.13,-67.089
1303908,AM,SÃO PAULO DE OLIVENÇA,0.521,-3.378,-68.873
1303957,AM,SÃO SEBASTIÃO DO UATUMÃ,0.577,-2.572,-57.871
1304062,AM,TABATINGA,0.616,-4.253,-69.938
1304104,AM,TAPAUÁ,0.502,-5.628,-63.183
1304203,AM,TEFÉ,0.639,-3.354,-64.711
1304237,AM,TONANTINS,0.548,-2.873,-67.802
1304260,AM,UARINI,0.527,-2.99,-65.108
1304302,AM,URUCARÁ,0.62,-2.536,-57.76
1304401,AM,URUCURITUBA,0.588,-3.131,-58.155
1600105,AP,AMAPÁ,0.642,2.053,-50.793
1600204,AP,CALÇOENE,0.643,2.498,-50.949
1600212,AP,CUTIAS,0.628,0.986,-50.802
1600238,AP,FERREIRA GOMES,0.656,0.858,-51.18
1600253,AP,ITAUBAL,0.576,-0.596,-50.671
1600279,AP,LARANJAL DO JARI,0.665,-0.842,-52.516
1600303,AP,MACAPÁ,0.733,0.039,-51.066
1600402,AP,MAZAGÃO,0.592,-0.115,-51.289
1600501,AP,OIAPOQUE,0.658,3.843,-51.835
1600154,AP,PEDRA BRANCA DO AMAPARI,0.626,0.778,-51.944
1600535,AP,PORTO GRANDE,0.64,0.713,-51.413
1600550,AP,PRACUÚBA,0.614,1.743,-50.791
1600600,AP,SANTANA,0.692,-0.058,-51.182
1600055,AP,SERRA DO NAVIO,0.709,0.896,-52.002
1600709,AP,TARTARUGALZINHO,0.592,1.506,-50.912
1600808,AP,VITÓRIA DO JARI,0.619,-0.938,-52.424
2900207,BA,ABARÉ,0.575,-8.721,-39.115
2900108,BA,ABAÍRA,0.603,-13.25,-41.664
2900306,BA,ACAJUTIBA,0.582,-11.662,-38.017
2900355,BA,ADUSTINA,0.546,-10.533,-38.1
2900603,BA,AIQUARA,0.583,-14.129,-39.888
2900702,BA,ALAGOINHAS,0.683,-12.136,-38.419
2900801,BA,ALCOBAÇA,0.608,-17.519,-39.196
2900900,BA,ALMADINA,0.563,-14.705,-39.637
2901007,BA,AMARGOSA,0.625,-13.03,-39.605
2901106,BA,AMÉLIA RODRIGUES,0.666,-12.409,-38.759
2901155,BA,AMÉRICA DOURADA,0.561,-11.455,-41.436
2901205,BA,ANAGÉ,0.54,-14.612,-41.136
2901304,BA,ANDARAÍ,0.555,-12.807,-41.331
2901353,BA,ANDORINHA,0.588,-10.345,-39.833
2901403,BA,ANGICAL,0.625,-12.007,-44.694
2901502,BA,ANGUERA,0.589,-12.151,-39.246
2901601,BA,ANTAS,0.592,-10.4,-38.333
2901700,BA,ANTÔNIO CARDOSO,0.561,-12.435,-39.12
2901809,BA,ANTÔNIO GONÇALVES,0.598,-10.573,-40.274
2901908,BA,APORÁ,0.548,-11.66,-38.081
2901957,BA,APUAREMA,0.552,-13.856,-39.744
2902005,BA,ARACATU,0.581,-14.428,-41.462
2902104,BA,ARACI,0.534,-11.333,-38.967
2902203,BA,ARAMARI,0.588,-12.082,-38.499
2902252,BA,ARATACA,0.559,-15.263,-39.414
2902302,BA,ARATUÍPE,0.575,-13.079,-39.002
2902054,BA,ARAÇAS,0.57,-12.22,-38.203
2902401,BA,AURELINO LEAL,0.568,-14.317,-39.327
2902500,BA,BAIANÓPOLIS,0.589,-12.306,-44.535
2902609,BA,BAIXA GRANDE,0.585,-11.96,-40.168
2902658,BA,BANZAÊ,0.579,-10.577,-38.615
2902708,BA,BARRA,0.557,-11.089,-43.142
2902807,BA,BARRA DA ESTIVA,0.575,-13.626,-41.327
2902906,BA,BARRA DO CHOÇA,0.551,-14.881,-40.579
2903003,BA,BARRA DO MENDES,0.63,-11.81,-42.059
2903102,BA,BARRA DO ROCHA,0.577,-14.211,-39.602
2903201,BA,BARREIRAS,0.721,-12.153,-44.99
2903235,BA,BARRO ALTO,0.607,-11.761,-41.912
2903300,BA,BARRO PRETO,0.602,-14.81,-39.471
2903276,BA,BARROCAS,0.61,-11.529,-39.078
2903409,BA,BELMONTE,0.598,-15.863,-38.883
2903508,BA,BELO CAMPO,0.575,-15.038,-41.26
2903607,BA,BIRITINGA,0.538,-11.617,-38.8
2903706,BA,BOA NOVA,0.567,-14.363,-40.208
2903805,BA,BOA VISTA DO TUPIM,0.551,-12.66,-40.609
2903904,BA,BOM JESUS DA LAPA,0.633,-13.255,-43.418
2903953,BA,BOM JESUS DA SERRA,0.546,-14.372,-40.504
2904001,BA,BONINAL,0.612,-12.702,-41.828
2904050,BA,BONITO,0.561,-11.966,-41.267
2904100,BA,BOQUIRA,0.603,-12.823,-42.731
2904209,BA,BOTUPORÃ,0.575,-13.382,-42.523
2904407,BA,BREJOLÂNDIA,0.592,-12.483,-43.966
2904308,BA,BREJÕES,0.597,-13.104,-39.796
2904506,BA,BROTAS DE MACAÚBAS,0.57,-11.999,-42.626
2904605,BA,BRUMADO,0.656,-14.204,-41.665
2904704,BA,BUERAREMA,0.613,-14.959,-39.3
2904753,BA,BURITIRAMA,0.565,-10.708,-43.631
2904803,BA,CAATIBA,0.561,-14.977,-40.408
2904852,BA,CABACEIRAS DO PARAGUAÇU,0.581,-12.536,-39.191
2904902,BA,CACHOEIRA,0.647,-12.618,-38.956
2905008,BA,CACULÉ,0.637,-14.503,-42.222
2905156,BA,CAETANOS,0.542,-14.338,-40.91
2905206,BA,CAETITÉ,0.625,-14.069,-42.475
2905305,BA,CAFARNAUM,0.584,-11.694,-41.468
2905404,BA,CAIRU,0.627,-13.487,-39.044
2905503,BA,CALDEIRÃO GRANDE,0.573,-11.02,-40.303
2905602,BA,CAMACAN,0.581,-15.419,-39.496
2905800,BA,CAMAMU,0.565,-13.945,-39.104
2905701,BA,CAMAÇARI,0.694,-12.698,-38.324
2905909,BA,CAMPO ALEGRE DE LOURDES,0.557,-9.516,-43.011
2906006,BA,CAMPO FORMOSO,0.586,-10.509,-40.321
2906204,BA,CANARANA,0.587,-11.685,-41.769
2906303,BA,CANAVIEIRAS,0.59,-15.675,-38.947
2906402,BA,CANDEAL,0.587,-11.808,-39.119
2906501,BA,CANDEIAS,0.691,-12.668,-38.551
2906600,BA,CANDIBA,0.591,-14.411,-42.867
2906808,BA,CANSANÇÃO,0.557,-10.671,-39.498
2906824,BA,CANUDOS,0.562,-9.964,-39.164
2906105,BA,CANÁPOLIS,0.565,-13.07,-44.202
2906857,BA,CAPELA DO ALTO ALEGRE,0.599,-11.668,-39.838
2906873,BA,CAPIM GROSSO,0.621,-11.381,-40.013
2906907,BA,CARAVELAS,0.616,-17.732,-39.266
2906899,BA,CARAÍBAS,0.555,-14.6,-41.335
